encoder,encoder_family,dataset,query_id,query_text,query_length_tokens,nDCG@10,primary_label,labels
conv-retriever,convolutional,fiqa,10136,How to minimise the risk of a reduction in purchase power in case of Brexit for money held in a bank account?,26.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10152,What does a high operating margin but a small but positive ROE imply about a company?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,10447,Is there an advantage to a traditional but non-deductable IRA over a taxable account? [duplicate],23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,10482,Rollover into bond fund to do dollar cost averaging [duplicate],13.0,0.0,DOMAIN-TERM,DOMAIN-TERM
conv-retriever,convolutional,fiqa,10547,How much do brokerages pay exchanges per trade?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10639,Short term parking of a large inheritance?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10674,How to sell a stock in a crashing market?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10710,Probablity of touching In the money vs expiring in the money for an american option,20.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
conv-retriever,convolutional,fiqa,1074,How common is “pass-through” health insurance?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10808,What are a few sites that make it easy to invest in high interest rate mutual funds?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,10827,How much should I be contributing to my 401k given my employer's contribution?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY|DOMAIN-TERM
conv-retriever,convolutional,fiqa,10845,"Rationale behind using 12, 26 and 9 to calculate MACD",13.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,11088,Am I required to have a lawyer create / oversee creation of my will?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1159,what is the best way to do a freelancing job over the summer for a student,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1198,What are the consequences of IRS “reclassification” on both employer and employee?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,1230,How does Walmart account their expired food,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1310,Is is possible to take a mortgage using Bitcoin as collateral?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,1322,Is this follow-up after a car crash a potential scam?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1670,Investing in hemp producers in advance of possible legalization in Canada?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1736,How can people have such high credit card debts?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,18,1 EIN doing business under multiple business names,8.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,1815,Rules for SEP contributions in an LLC?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,1871,Is there any US bank that does not charge for incoming wire transfers?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
conv-retriever,convolutional,fiqa,1915,Should I pay a company who failed to collect VAT from me over 6 months ago?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,2075,Are stories of turning a few thousands into millions by trading stocks real?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2204,What's an economic explanation for why greeting cards are so expensive?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2264,Personal Tax Return software for Linux?,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2334,How do you determine “excess cash” for Enterprise Value calculations from a balance sheet?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2400,Will I be paid dividends if I own shares?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,2407,How long to wait after getting a mortgage to increase my credit limit?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,2443,What are some way to transfer money from Hong Kong to India on a monthly basis?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2498,How do I calculate tax liability on the turnover of a small vendor?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2580,Stock market vs. baseball card trading analogy,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,2713,Physical Checks - Mailing,5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,2856,How can I cash out a check internationally?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,2923,Should I give to charity by check or credit card?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,2994,Work on the side for my wife's company,10.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,3085,How long can I convert 401(k) to Roth 401(k)?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY|DOMAIN-TERM
conv-retriever,convolutional,fiqa,3115,How can I live outside of the rat race of American life with 300k?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,3369,Why should one only contribute up to the employer's match in a 401(k)?,19.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,34,401k Transfer After Business Closure,6.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|DOMAIN-TERM
conv-retriever,convolutional,fiqa,3405,Non Resident aliens - Question of standard vs itemized,10.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
conv-retriever,convolutional,fiqa,3451,Should you keep your stocks if you are too late to sell?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,3490,Tax Witholding for Stock Sale,7.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,3500,Why invest in becoming a landlord?,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,3503,Is there any instance where less leverage will get you a better return on a rental property?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,3512,"As an employee, when is it inappropriate to request to see your young/startup company's financial statements?",22.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,3530,How to exclude stock from mutual fund,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,3566,"Where can I buy stocks if I only want to invest a little bit at a time, and not really be involved in trading?",26.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NEGATION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,3569,Funds in closed bank account have gone to the government,10.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,3615,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,22.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NUMERIC-ENTITY|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,3735,Shorting Stocks And Margin Account Minimum,7.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,3759,Simplifying money management,5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,3767,What should I be doing to protect myself from identity theft?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,3875,Does freedom to provide services allow me contracting in Germany without paying taxes there (but in my home EU country)?,23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NEGATION
conv-retriever,convolutional,fiqa,4011,How can I deal with a spouse who compulsively spends?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4031,28 years old and just inherited large amount of money and real estate - unsure what to do with it,20.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,4037,How separate individual expenses from family expenses in Gnucash?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4047,Does doing your “research”/“homework” on stocks make any sense?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
